import time: self [us] | cumulative | imported package
import time:       655 |        655 |                   pydantic.config
import time:       211 |        865 |                 pydantic._internal._config
import time:       844 |        844 |                 pydantic._internal._docs_extraction
import time:       643 |       4980 |               pydantic._internal._fields
import time:       123 |        123 |               pydantic.annotated_handlers
import time:       177 |        177 |                 pydantic._internal._core_metadata
import time:      2531 |       2531 |                 pydantic._internal._decorators
import time:       423 |        423 |                     pydantic.plugin
import time:       204 |        626 |                   pydantic.plugin._schema_validator
import time:       227 |        852 |                 pydantic._internal._mock_val_ser
import time:       127 |        127 |                 pydantic._internal._schema_generation_shared
import time:      1374 |       5058 |               pydantic.json_schema
import time:      5804 |      17093 |             pydantic.types
import time:      1469 |      55822 |           pydantic.fields
import time:       125 |        125 |           langchain_core.version
import time:       679 |      56935 |         langchain_core
import time:       111 |        111 |           langchain_core.utils
import time:       119 |        119 |             packaging
import time:      1390 |       1508 |           packaging.version
import time:      2509 |       2509 |                 pydantic.functional_validators
import time:       191 |        191 |                 pydantic._internal._discriminated_union
import time:       283 |        283 |                 pydantic._internal._known_annotated_metadata
import time:       428 |        428 |                 pydantic._internal._schema_gather
import time:       868 |       4276 |               pydantic._internal._generate_schema
import time:       123 |        123 |               pydantic._internal._signature
import time:       337 |       4735 |             pydantic._internal._model_construction
import time:        99 |         99 |             pydantic.plugin._loader
import time:       356 |        356 |             pydantic._internal._decorators_v1
import time:       393 |        393 |                     pydantic.v1.typing
import time:      1729 |       2121 |                   pydantic.v1.errors
import time:        82 |         82 |                       cython
import time:        95 |        177 |                     pydantic.v1.version
import time:       703 |        880 |                   pydantic.v1.utils
import time:       366 |       3366 |                 pydantic.v1.class_validators
import time:       538 |        538 |                 pydantic.v1.config
import time:       176 |        176 |                       colorsys
import time:      1084 |       1260 |                     pydantic.v1.color
import time:       907 |        907 |                         pydantic.v1.datetime_parse
import time:       424 |       1330 |                       pydantic.v1.validators
import time:       821 |       2150 |                     pydantic.v1.networks
import time:      1945 |       1945 |                     pydantic.v1.types
import time:       238 |       5591 |                   pydantic.v1.json
import time:       380 |       5970 |                 pydantic.v1.error_wrappers
import time:       715 |        715 |                 pydantic.v1.fields
import time:       306 |        306 |                       _compat_pickle
import time:       102 |        102 |                       _pickle
import time:       813 |       1220 |                     pickle
import time:       244 |       1464 |                   pydantic.v1.parse
import time:      1218 |       1218 |                   pydantic.v1.schema
import time:      1132 |       3813 |                 pydantic.v1.main
import time:       442 |      14841 |               pydantic.v1.dataclasses
import time:       139 |        139 |               pydantic.v1.annotated_types
import time:       219 |        219 |               pydantic.v1.decorator
import time:       532 |        532 |               pydantic.v1.env_settings
import time:       171 |        171 |               pydantic.v1.tools
import time:       227 |      16125 |             pydantic.v1
import time:     12447 |      33761 |           langchain_core.utils.pydantic
import time:       420 |      35799 |         langchain_core.utils.utils
import time:       177 |      92910 |       langchain_core.messages
import time:       524 |        524 |                 langchain_core.load.serializable
import time:       109 |        632 |               langchain_core.load._validation
import time:       185 |        185 |               langchain_core.load.mapping
import time:        84 |         84 |               langchain_core.load.validators
import time:       467 |       1366 |             langchain_core.load.load
import time:       104 |       1469 |           langchain_core.load
import time:        14 |       1483 |         langchain_core.load.serializable
import time:        88 |         88 |         langchain_core.utils._merge
import time:        66 |         66 |         langchain_core.utils.interactive_env
import time:      1739 |       3375 |       langchain_core.messages.base
import time:      1612 |       1612 |       langchain_core.messages.tool
import time:       227 |        227 |         langchain_core.exceptions
import time:       195 |        422 |       langchain_core.utils.json
import time:       103 |        103 |       langchain_core.utils.usage
import time:       138 |        138 |       langchain_core.prompts
import time:       100 |        100 |           xml
import time:       149 |        149 |             xml.sax.handler
import time:       148 |        148 |             xml.sax._exceptions
import time:       255 |        551 |           xml.sax.xmlreader
import time:       151 |        802 |         xml.sax
import time:       198 |        999 |       xml.sax.saxutils
import time:       229 |        229 |           langchain_core.messages.block_translators.anthropic
import time:        99 |         99 |           langchain_core.messages.block_translators.bedrock
import time:       116 |        116 |           langchain_core.messages.block_translators.bedrock_converse
import time:        78 |         78 |                       filetype.types.base
import time:       387 |        464 |                     filetype.types.archive
import time:       136 |        136 |                     filetype.types.audio
import time:        74 |         74 |                     filetype.types.application
import time:       180 |        180 |                     filetype.types.document
import time:       105 |        105 |                     filetype.types.font
import time:        79 |         79 |                       filetype.types.isobmff
import time:       226 |        304 |                     filetype.types.image
import time:       198 |        198 |                     filetype.types.video
import time:       295 |       1753 |                   filetype.types
import time:        80 |         80 |                   filetype.utils
import time:       100 |       1932 |                 filetype.match
import time:       109 |       2040 |               filetype.filetype
import time:        83 |         83 |               filetype.helpers
import time:       126 |       2248 |             filetype
import time:       142 |       2389 |           langchain_core.messages.block_translators.google_genai
import time:        72 |         72 |           langchain_core.messages.block_translators.google_vertexai
import time:       106 |        106 |           langchain_core.messages.block_translators.groq
import time:       234 |        234 |                 langchain_core.language_models._utils
import time:       106 |        339 |               langchain_core.language_models
import time:        14 |        352 |             langchain_core.language_models._utils
import time:       227 |        579 |           langchain_core.messages.block_translators.openai
import time:       176 |       3762 |         langchain_core.messages.block_translators
